,game_id,event,player_name
85,1aed4478-0f62-41b6-ad1a-24521d66504f,WCh Playoffs,"Kramnik,V"
86,1b3f3703-d5fe-4f20-a7ee-c3ba057b61f0,FIDE-Wch k.o.,"Beliavsky, Alexander G"
87,1b9d22cf-11fa-4107-8fc6-b7de5a807c2b,FIDE WCh KO,"Macieja,B"
88,1c0c2867-0c1c-4381-809d-ed3c4c5777db,FIDE WCh KO,"Bacrot,E"
89,1c47c1e0-b68c-4e9f-a5c0-daba750ad44a,FIDE WCh KO,"Sadvakasov,D"
90,1c674af5-4978-4ced-97a6-d9fa01b50bbc,FIDE-Wch k.o. g/15+10,"Kortschnoj, Viktor"
91,1ca4651f-b56c-4570-bcd9-fc034f671138,World Championship 4th,"Steinitz, William"
92,1d759e60-e378-424b-9947-0d93bc533cc4,FIDE-Wch k.o.,"Bareev, Evgeny"
93,1d764dcb-ef38-4eea-9a8f-7762fce07a08,World Championship 29th,"Kortschnoj, Viktor"
94,1d868305-b48c-4b6e-8eae-fe47bb0e7c76,FIDE WCh KO,"Rublevsky,S"
95,1de806bd-8328-4ab6-9475-83ff0f03eb4e,FIDE WCh KO,"Delchev,A"
96,1decd874-eb1f-4ae8-84e0-eed30b1bbab0,FIDE WCh KO,"Ivanchuk,V"
97,1e011e88-7879-4436-8c83-cf9ea3b5856e,World Championship 14th,"Alekhine, Alexander"
98,1e2d1890-d229-406a-b5e0-0312a86f7594,World Championship 8th,"Tarrasch, Siegbert"
99,1ede0831-c1f4-479e-bdd0-9c681a8c284e,FIDE WCh KO,"Aleksandrov,A"
100,1efcfb8f-2f43-4dfc-9ddc-c93d225714a8,FIDE WCh KO,"Motylev,A"
101,1f30d51d-43f7-45d1-8d58-7bc81b742df3,FIDE WCh KO,"Kharlov,A"
102,1fdb22ea-3861-483e-9daa-ca767ae94ece,World Championship 30th,"Karpov, Anatoly"
103,2021e33a-d464-48a0-b147-cced74c26623,World Championship 25th,"Botvinnik, Mikhail"
104,20247cb1-f141-4f53-80ca-a793376ca8ed,FIDE WCh KO,"Sutovsky,E"
105,2161bce4-859b-4528-a360-7b0355a5df7d,FIDE-Wch k.o.,"Andersson, Ulf"
106,219cd2a7-db56-470a-9f02-aa598820cfb1,FIDE WCh KO,"Zapata,A"
107,21ed53d3-dd0a-42ca-8d9d-9c2c4386830b,World Championship 30th,"Karpov, Anatoly"
108,223d391a-fd99-44c8-97fe-fb5321b2d705,World Championship 18th,"Reshevsky, Samuel Herman"
109,23c779c0-3e1f-43fa-a8da-b6c2634fcc20,World Championship 24th,"Botvinnik, Mikhail"
110,23fb6d56-1517-4d3a-b554-2e6652a26851,World Championship 16th,"Alekhine, Alexander"
111,23fda3a8-a910-4965-9e53-ca82ff7ec436,WCh,"Leko,P"
112,24615df1-2a1e-41bf-897b-b1547510c735,FIDE WCh KO,"Vaganian,R"
113,24616dba-caf3-47fd-b279-5b9201260bfb,FIDE-Wch k.o. g/25+10,"Dolmatov, Sergey"
114,25245c2b-0d98-416d-973b-c4b3b8f8df1e,FIDE WCh KO,"Almasi,Z"
115,2524dbe4-35ec-4854-96cb-7fa6818f1891,FIDE WCh KO,"Nikolic,Pr"
116,2536c536-7b68-4df1-8951-03b5a2c6d06b,FIDE-Wch k.o.,"Adams, Michael"
